balancing,balancing,balancing,battery,battery,battery,battery,battery,genset,genset,genset,genset,genset,genset,genset,load,load,load,node,node,node,pv,pv,pv,pv,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_production,current_status,genset_production,goal_status,reward,steps_until_down,steps_until_up,load_current,load_met,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
77.74863410676701,0.0,-777.4863410676701,49.22624858740961,50.0,0.0,-0.0,0.5,0.0,0,0.0,0,-0.0,0,0,-30.78768925194013,30.78768925194013,0.0,32.558155547310356,-32.558155547310356,0.0,0.0,34.82345927989308,34.82345927989308,0.0,-777.4863410676701,-777.4863410676701,112.5720933866601,112.5720933866601,112.5720933866601,0.0,0.0,49.226248587409614,0.0,63.345844799250486
0.0,0.0,-0.0,0.0,99.2262485874096,37.512453387322466,-0.0,0.992262485874096,0.0,0,0.0,0,-0.0,0,0,-39.9974730098443,39.9974730098443,0.0,4.0064665935002814,-4.0064665935002814,0.0,7.815480531496863,14.306966747518974,6.4914862160221105,0.0,0.0,0.0,44.00393960334458,44.00393960334458,6.4914862160221105,0.0,37.512453387322466,0.0,0.0,44.00393960334458
27.40350732448327,0.0,-274.0350732448327,0.0,61.713795200087134,6.810321381897843,-0.0,0.6171379520008713,0.0,0,0.0,0,-0.0,0,0,-6.35450910340883,6.35450910340883,0.0,39.20189228118244,-39.20189228118244,0.0,0.0,11.342572678210155,11.342572678210155,0.0,-274.0350732448327,-274.0350732448327,45.55640138459127,45.55640138459127,38.746080002693425,0.0,6.810321381897843,0.0,0.0,45.55640138459127
23.95795872480949,0.0,-239.5795872480949,0.0,54.90347381818929,16.09517950296032,-0.0,0.5490347381818929,0.0,0,0.0,0,-0.0,0,0,-7.853697039844844,7.853697039844844,0.0,59.765179642069526,-59.765179642069526,0.0,0.0,27.56573845414456,27.56573845414456,0.0,-239.5795872480949,-239.5795872480949,67.61887668191437,67.61887668191437,51.52369717895405,0.0,16.09517950296032,0.0,0.0,67.61887668191437
34.20033566864505,0.0,-342.0033566864505,4.691107545386998,38.80829431522897,0.0,-0.0,0.3880829431522897,0.0,0,0.0,0,-0.0,0,0,-19.318836388098482,19.318836388098482,0.0,46.163840224437735,-46.163840224437735,0.0,0.0,35.973448489278155,35.973448489278155,0.0,-342.0033566864505,-342.0033566864505,70.17378415792321,70.17378415792321,70.17378415792321,0.0,0.0,4.691107545386998,0.0,65.48267661253621
0.0,0.0,-0.0,0.0,43.49940186061597,43.49940186061597,-0.0,0.43499401860615966,0.0,1,29.37468737397512,1,-14.68734368698756,0,0,-39.69386019997462,39.69386019997462,0.0,34.42644681952947,-34.42644681952947,0.0,19.90910522131005,21.15532300622305,1.246217784913,0.0,-14.68734368698756,-14.68734368698756,74.12030701950408,74.12030701950408,1.246217784913,0.0,72.87408923459108,0.0,0.0,74.12030701950408
32.528987010580416,0.0,-325.28987010580414,49.646778903375164,0.0,0.0,-0.0,0.0,0.0,1,25.028071042455057,1,-12.514035521227528,0,0,-50.79037351624332,50.79037351624332,0.0,6.158115552647752,-6.158115552647752,0.0,0.0,49.03820991923077,49.03820991923077,0.0,-337.80390562703167,-337.80390562703167,106.59526797226624,106.59526797226624,81.56719692981119,0.0,25.028071042455057,49.64677890337517,0.0,56.94848906889107
71.1074293422626,0.0,-711.074293422626,30.163431097328086,49.646778903375164,0.0,-0.0,0.49646778903375166,0.0,0,0.0,0,-0.0,0,0,-33.1954406878028,33.1954406878028,0.0,41.990044486374885,-41.990044486374885,0.0,0.0,34.241486929243166,34.241486929243166,0.0,-711.074293422626,-711.074293422626,105.34891627150577,105.34891627150577,105.34891627150577,0.0,0.0,30.163431097328086,0.0,75.18548517417769
79.65097815751692,0.0,-796.5097815751692,12.760351940588798,79.81021000070325,0.0,-0.0,0.7981021000070325,0.0,0,0.0,0,-0.0,0,0,-51.267149251470286,51.267149251470286,0.0,39.670072039675865,-39.670072039675865,0.0,0.0,24.046595074218047,24.046595074218047,0.0,-796.5097815751692,-796.5097815751692,103.69757323173496,103.69757323173496,103.69757323173496,0.0,0.0,12.760351940588805,0.0,90.93722129114616
0.0,25.978826461988245,-51.95765292397649,0.0,92.57056194129206,42.01492297590049,-0.0,0.9257056194129205,0.0,1,10.0,1,-5.0,0,0,-23.090268676545666,23.090268676545666,0.0,2.945827837366579,-2.945827837366579,0.0,19.605875909707528,19.605875909707528,0.0,0.0,-56.95765292397649,-56.95765292397649,52.01492297590049,52.01492297590049,0.0,25.978826461988245,52.01492297590049,0.0,0.0,26.036096513912245
